iter	Logloss
0	0.6331636873
1	0.5843208073
2	0.5438998581
3	0.5101101333
4	0.4816688377
5	0.4575975518
6	0.4372427387
7	0.419883645
8	0.4051421675
9	0.3925235313
10	0.3817419071
11	0.3724627678
12	0.3645379852
13	0.3577774601
14	0.3519250043
15	0.3468894975
16	0.342591021
17	0.3389324703
18	0.3357707747
19	0.3324584135
20	0.329656152
21	0.3272629638
22	0.3250860098
23	0.3235231976
24	0.3220106309
25	0.3207157106
26	0.3196087935
27	0.3185708516
28	0.3175574837
29	0.3167498611
30	0.3159176141
31	0.3152901218
32	0.3147206176
33	0.314230144
34	0.3137925219
35	0.3134562886
36	0.3130229302
37	0.3126356347
38	0.3123624223
39	0.3121351245
40	0.3118558246
41	0.3116406268
42	0.3115014095
43	0.3110586881
44	0.3106772716
45	0.3103597792
46	0.3100790697
47	0.3099012645
48	0.3096155097
49	0.3093800334
50	0.3090348357
51	0.308828392
52	0.3082094458
53	0.307775433
54	0.3074061356
55	0.3072052377
56	0.3070330613
57	0.3068376031
58	0.3067463377
59	0.3063444147
60	0.3062426446
61	0.3061744223
62	0.3060295224
63	0.305877719
64	0.3056997243
65	0.3056450736
66	0.3055401725
67	0.3054368094
68	0.305193755
69	0.3050282305
70	0.3049241237
71	0.304761862
72	0.3043624918
73	0.3042952422
74	0.3040574765
75	0.3039612771
76	0.3039076353
77	0.3038550377
78	0.3038038951
79	0.3037482956
80	0.3036861164
81	0.3036411154
82	0.3032714182
83	0.303182524
84	0.3031352882
85	0.3031001246
86	0.3029905078
87	0.3027075028
88	0.3023298394
89	0.3022263471
90	0.302154968
91	0.3021294879
92	0.3018565271
93	0.3018154643
94	0.3017016244
95	0.3016667851
96	0.3015137233
97	0.3014096022
98	0.3013717559
99	0.3012497106
