iter	Passed	Remaining
0	368	36511
1	786	38550
2	1133	36659
3	1416	33987
4	1679	31917
5	1926	30184
6	2190	29095
7	2457	28261
8	2708	27386
9	2979	26815
10	3259	26372
11	3535	25926
12	3801	25438
13	4066	24981
14	4328	24528
15	4601	24157
16	4862	23741
17	5133	23386
18	5389	22976
19	5670	22682
20	5926	22294
21	6204	21999
22	6477	21684
23	6735	21327
24	6988	20966
25	7243	20614
26	7499	20275
27	7797	20050
28	8078	19777
29	8330	19436
30	8631	19212
31	8916	18947
32	9178	18635
33	9440	18325
34	9729	18068
35	10003	17783
36	10245	17445
37	10530	17180
38	10798	16890
39	11066	16599
40	11330	16304
41	11617	16043
42	11954	15846
43	12290	15642
44	12614	15417
45	12882	15123
46	13149	14828
47	13420	14538
48	13692	14251
49	13965	13965
50	14260	13701
51	14542	13423
52	14823	13145
53	15120	12880
54	15409	12607
55	15669	12311
56	15960	12040
57	16201	11732
58	16506	11470
59	16778	11185
60	17122	10946
61	17446	10693
62	17726	10410
63	18076	10168
64	18353	9882
65	18656	9611
66	18943	9330
67	19218	9044
68	19483	8753
69	19755	8466
70	20020	8177
71	20299	7894
72	20572	7609
73	20830	7318
74	21128	7042
75	21424	6765
76	21674	6474
77	21963	6194
78	22234	5910
79	22494	5623
80	22764	5339
81	23045	5058
82	23316	4775
83	23590	4493
84	23846	4208
85	24124	3927
86	24370	3641
87	24667	3363
88	24986	3088
89	25292	2810
90	25563	2528
91	25830	2246
92	26111	1965
93	26385	1684
94	26667	1403
95	26925	1121
96	27183	840
97	27468	560
98	27731	280
99	28003	0
